Date,RF
201706,0.0006
201707,0.0007
201708,0.0009
201709,0.0009
201710,0.0009
201711,0.0008
201712,0.0009
201801,0.0011
201802,0.0011
201803,0.0012
201804,0.0014
201805,0.0014
201806,0.0014
201807,0.0016
201808,0.0016
201809,0.0015
201810,0.0019
201811,0.0018
201812,0.0019
201901,0.0021
201902,0.0018
201903,0.0019
201904,0.0021
201905,0.0021
201906,0.0018
201907,0.0019
201908,0.0016
201909,0.0018
201910,0.0015
201911,0.0012
201912,0.0014
202001,0.0013
202002,0.0012
202003,0.0012
202004,0.0000
202005,0.0001
202006,0.0001
202007,0.0001
202008,0.0001
202009,0.0001
202010,0.0001
202011,0.0001
202012,0.0001
202101,0.0000
202102,0.0000
202103,0.0000
202104,0.0000
202105,0.0000
202106,0.0000
202107,0.0000
202108,0.0000
202109,0.0000
202110,0.0000
202111,0.0000
202112,0.0001
202201,0.0000
202202,0.0000
202203,0.0000
202204,0.0000
202205,0.0003
202206,0.0006
202207,0.0008
202208,0.0019
202209,0.0019
202210,0.0023
202211,0.0029
202212,0.0033
202301,0.0035
202302,0.0034
202303,0.0036
202304,0.0035
202305,0.0036
202306,0.0040
202307,0.0045
202308,0.0045
202309,0.0043
202310,0.0047
202311,0.0044
202312,0.0043
202401,0.0047
202402,0.0042
202403,0.0043
202404,0.0047
202405,0.0044
202406,0.0041
202407,0.0045
202408,0.0048
202409,0.0040
202410,0.0039
202411,0.0040
202412,0.0037
202501,0.0037
202502,0.0033
202503,0.0034
202504,0.0035
202505,0.0038
202506,0.0034
202507,0.0034
202508,0.0038
202509,0.0033
202510,0.0037
202511,0.0030
202512,0.0034
202601,0.0030
