Price,Close,High,Low,Open,Volume
Ticker,XLB,XLB,XLB,XLB,XLB
Date,,,,,
2005-09-19,8.773995399475098,8.881963545158683,8.754942375438205,8.881963545158683,4599000
2005-09-20,8.640625,8.843859523812277,8.640625,8.824806495409044,6464800
2005-09-21,8.542184829711914,8.627924377928686,8.516780586427492,8.596168922401924,8034400
2005-09-22,8.592992782592773,8.599343994440655,8.500902633538074,8.573939752734026,7041400
2005-09-23,8.59934139251709,8.62792123150019,8.494548851473958,8.539006109587797,4488600
2005-09-26,8.58981704711914,8.678732194593799,8.554886593852398,8.65332795327031,3816200
2005-09-27,8.58981704711914,8.640625529766119,8.545359776224256,8.580290835175887,4579200
2005-09-28,8.615220069885254,8.650151123896155,8.577114016132276,8.605693859289412,12234000
2005-09-29,8.666031837463379,8.672382444601,8.551712429396309,8.599345314195924,4953200
2005-09-30,8.732717514038086,8.758121758942433,8.653329173001376,8.666031598296037,3216800
2005-10-03,8.697784423828125,8.745417901900895,8.65967836819171,8.742242296317054,2239600
2005-10-04,8.602517127990723,8.856559472044953,8.602517127990723,8.856559472044953,2406800
2005-10-05,8.405634880065918,8.599342569534793,8.405634880065918,8.577113937435373,9584200
2005-10-06,8.361177444458008,8.4659699976961,8.294491549526851,8.424688339741307,9655000
2005-10-07,8.443743705749512,8.488200981355721,8.392935217718142,8.392935217718142,3643400
2005-10-10,8.399285316467285,8.478673644200681,8.392934104884244,8.443742586178827,4445200
2005-10-11,8.4088134765625,8.491377429218304,8.402462263507818,8.459621969629914,4036800
2005-10-12,8.342127799987793,8.45009600232809,8.29766991299265,8.421516148433009,3333000
2005-10-13,8.329422950744629,8.364354007719404,8.25003462539094,8.332598556440958,3084000
2005-10-14,8.358007431030273,8.377060470088738,8.275443454196669,8.342129999429083,3295800
2005-10-17,8.421514511108398,8.424690117111004,8.351652390420895,8.351652390420895,3554000
2005-10-18,8.332600593566895,8.431041971480324,8.32307377414882,8.415164544801868,2134800
2005-10-19,8.402462005615234,8.411988824904853,8.234159104626936,8.28179198970504,4786400
2005-10-20,8.345304489135742,8.513607422032935,8.313549024501427,8.41199041975121,11547400
2005-10-21,8.421514511108398,8.465971783775053,8.319897541764663,8.335774966092778,4301600
2005-10-24,8.615220069885254,8.615220069885254,8.434214800346597,8.469145854357498,5646800
2005-10-25,8.608871459960938,8.694610403618922,8.561237973202681,8.615222066601754,4373200
2005-10-26,8.678729057312012,8.789872800056658,8.58981394197936,8.58981394197936,11956400
2005-10-27,8.58981704711914,8.732716283116826,8.478673869881929,8.675556588717752,5591400
2005-10-28,8.726366996765137,8.748595637117145,8.602521368698227,8.621574402473515,3665600
2005-10-31,8.75177001953125,8.796227899701696,8.745419412951133,8.796227899701696,5209200
2005-11-01,8.780346870422363,8.818453525313775,8.732714006071646,8.796224895662423,4325200
2005-11-02,8.885141372680664,8.910545612979488,8.761295776934505,8.783524411485367,3250800
2005-11-03,8.856560707092285,8.951827053661056,8.827980863690135,8.916895999350693,10451600
2005-11-04,8.843857765197754,8.885139419476648,8.770820666104855,8.862910789812265,3728400
2005-11-07,8.891494750976562,8.907372177900731,8.605696826546462,8.853388078399544,4549000
2005-11-08,8.847039222717285,8.891496511455319,8.821634971197676,8.87561908138749,3314200
2005-11-09,8.837510108947754,8.920074056391918,8.82798328996709,8.82798328996709,4118200
2005-11-10,8.96135425567627,8.980407890508692,8.805753205320745,8.843859869300713,5356800
2005-11-11,9.085200309753418,9.088375915506534,8.955003502300027,8.980407742640082,2449400
2005-11-14,9.174113273620605,9.285257033165447,9.142358432909019,9.180464484036827,12318400
2005-11-15,9.148706436157227,9.228094726731236,9.136004624621371,9.177286269218637,3006400
2005-11-16,9.16458797454834,9.196342818416037,9.120130102900884,9.148709946929669,4010400
2005-11-17,9.27890682220459,9.291609244405246,9.183641078438981,9.186816683989147,3912800
2005-11-18,9.304306983947754,9.355115439117407,9.256674132936775,9.294780777156296,4365200
2005-11-21,9.364646911621094,9.383699940369725,9.310662825429251,9.332891459916798,4951000
2005-11-22,9.39322566986084,9.41227869640315,9.310661747264435,9.310661747264435,4125600
2005-11-23,9.377350807189941,9.421808083146578,9.358297169764276,9.36782398847711,1970400
2005-11-25,9.4313325881958,9.434507587969573,9.36147047947662,9.36147047947662,388000
2005-11-28,9.405929565429688,9.45673804796168,9.396402747823107,9.45673804796168,3934800
2005-11-29,9.49166488647461,9.53612274602305,9.409100982381398,9.424979005678933,4608800
2005-11-30,9.421802520751953,9.523419437623605,9.405925104622483,9.431329333840395,3130000
2005-12-01,9.605986595153809,9.605986595153809,9.450385562658289,9.450385562658289,5664200
2005-12-02,9.564704895019531,9.599635343350975,9.548826867882688,9.593284132496239,1763600
2005-12-05,9.59011173248291,9.59011173248291,9.532952030664786,9.586936126194685,8654800
2005-12-06,9.659972190856934,9.720307492324434,9.599636889389435,9.631392343092587,4052800
2005-12-07,9.634568214416504,9.707605335966138,9.59646154778609,9.682201093440835,4845800
2005-12-08,9.618687629699707,9.691724727252618,9.580580975589433,9.605985209768042,3228000
2005-12-09,9.593283653259277,9.653618941995592,9.571055022062945,9.653618941995592,2323800
2005-12-12,9.593283653259277,9.653618941995592,9.55200199613534,9.599634863796737,4109800
2005-12-13,9.679023742675781,9.71077919152941,9.561529369307605,9.577406790892015,2833800
2005-12-14,9.625042915344238,9.685378227995686,9.615516701446913,9.656798374933686,2747200
2005-12-15,9.57423210144043,9.6726734571886,9.567880889925098,9.653620428327473,2532800
2005-12-16,9.53774356842041,9.633761489858776,9.528142203600796,9.569749542233199,4028000
2005-12-19,9.492938995361328,9.595357660133022,9.48653767619725,9.537747008583095,2132600
2005-12-20,9.457731246948242,9.560150510233635,9.451330538994355,9.483335910153759,2597400
2005-12-21,9.640166282653809,9.643366331772066,9.50574163254135,9.50574163254135,2985600
2005-12-22,9.739385604858398,9.742586264872866,9.659370935887118,9.665772255916055,3076600
2005-12-23,9.76818561553955,9.777786979891331,9.723377010199712,9.73617964328628,3335800
2005-12-27,9.707380294799805,9.84500563273984,9.694578264309126,9.812999640817862,5606400
2005-12-28,9.790590286254883,9.796991603238371,9.723377678854636,9.723377678854636,1633200
2005-12-29,9.774588584899902,9.832198612141486,9.745783266047486,9.768187267274199,1846000
2005-12-30,9.691370010375977,9.736177997679233,9.681768037183975,9.736177997679233,1436400
2006-01-03,9.896207809448242,9.925013120272762,9.636960622490644,9.636960622490644,11209200
2006-01-04,9.957022666931152,9.957022666931152,9.861004726192395,9.861004726192395,6215000
2006-01-05,9.941018104553223,9.960222056531332,9.883407469545338,9.960222056531332,3371000
2006-01-06,10.04664421081543,10.085051530350924,9.985833486374377,10.011438162576829,1670600
