Price,Close,High,Low,Open,Volume
Ticker,XLK,XLK,XLK,XLK,XLK
Date,,,,,
1998-12-22,11.923299789428711,12.091888621166124,11.824471853582642,12.057008173220453,601000
1998-12-23,12.208162307739258,12.208162307739258,11.963999061584472,12.184908665248326,676600
1998-12-24,12.16165542602539,12.208162712549388,12.115148139501391,12.208162712549388,487400
1998-12-28,12.19653606414795,12.347684747497732,12.126775133371126,12.347684747497732,618600
1998-12-29,12.231415748596191,12.283736443338285,12.091893895950607,12.25466939070379,247600
1998-12-30,12.184910774230957,12.330246064954132,12.12096324631276,12.16165712771525,191200
1998-12-31,12.138400077819824,12.243041457801029,12.033758697838618,12.18490735781147,154400
1999-01-04,12.277925491333008,12.487208312208002,12.126776787367733,12.150030434131622,1301200
1999-01-05,12.591848373413086,12.661609306229778,12.301177820010198,12.301177820010198,590400
1999-01-06,12.963908195495605,12.99878866597676,12.801132666583552,12.905774078027015,1249400
1999-01-07,12.923213958740234,13.033668778900408,12.754625022706286,12.836012784929572,1069200
1999-01-08,12.975529670715332,13.231319682145205,12.830194436948359,13.20806604474249,1065600
1999-01-11,13.103428840637207,13.347592110959638,12.963906971881531,13.347592110959638,995800
1999-01-12,12.748805046081543,13.23131795936233,12.748805046081543,13.208064324987353,972000
1999-01-13,12.742993354797363,13.0801710986743,11.905862404482209,11.905862404482209,1096600
1999-01-14,12.568595886230469,12.882520112806068,12.487208123784944,12.777878703947534,732600
1999-01-15,12.940651893615723,12.946465304169907,12.591847260364625,12.649981365906475,1307800
1999-01-19,13.388289451599121,13.39410286430064,13.02785786410492,13.254580959464175,874600
1999-01-20,13.510366439819336,13.946372241448618,13.487112797065775,13.71964922460139,2264400
1999-01-21,13.161561012268066,13.510365632734535,13.068546446810341,13.487111991370103,2985800
1999-01-22,12.92902946472168,13.173192790943942,12.795320976552347,12.92902946472168,2582000
1999-01-25,13.155745506286621,13.161558915701683,12.870888444948553,13.091798002720932,1893200
1999-01-26,13.684764862060547,13.696391680125169,13.301079865928008,13.301079865928008,1427800
1999-01-27,13.394096374511719,13.946370313564936,13.394096374511719,13.859169165293375,2733800
1999-01-28,13.864984512329102,13.870797923026096,13.620821263055383,13.673141959328323,1807200
1999-01-29,14.06845760345459,14.080084427920255,13.742906518415971,13.90568206093528,1867200
1999-02-01,14.080076217651367,14.277732118312038,13.975434858478069,14.196344394510586,1826000
1999-02-02,13.841730117797852,14.138214047242492,13.626633933690956,14.138214047242492,2518400
