Price,Close,High,Low,Open,Volume
Ticker,XLP,XLP,XLP,XLP,XLP
Date,,,,,
1998-12-22,13.889655113220215,13.906034423495239,13.562068907719738,13.562068907719738,150300
1998-12-23,14.22542953491211,15.09353289167704,13.98792955994812,14.04525714011184,44000
1998-12-24,14.20085334777832,14.225422298207002,14.151715446920955,14.225422298207002,45500
1998-12-28,14.118959426879883,14.233614549835984,14.05344221376211,14.225424898196263,25400
1998-12-29,14.430171012878418,14.446550321633104,13.619395229521459,14.127153800916727,123500
1998-12-30,14.340086936950684,14.471121426380273,14.315517970182636,14.430173148433527,10200
1998-12-31,14.233617782592773,14.37284189208879,14.192669515093945,14.307324664090665,66300
1999-01-04,14.118959426879883,14.462924795748185,14.012493955563503,14.348269672792084,50000
1999-01-05,14.22542953491211,14.299136423694037,14.159912300439284,14.2008605719848,27900
1999-01-06,14.397415161132812,14.4056048170834,14.233622042121063,14.323708257577525,118500
1999-01-07,14.233617782592773,14.290945357091132,14.12715228709582,14.290945357091132,43500
1999-01-08,14.17629337310791,14.241810615733481,13.955172679246608,14.233620960405284,63800
1999-01-11,13.889655113220215,14.143534422483084,13.799568906707584,14.143534422483084,65400
1999-01-12,13.783185958862305,13.930599712433024,13.75861699993385,13.881461794576117,29400
1999-01-13,13.807758331298828,13.88146522630576,13.39008592625954,13.39008592625954,73800
1999-01-14,13.545693397521973,13.799572778007573,13.357331276516529,13.750434833397456,30800
1999-01-15,13.693103790283203,13.742241722544984,13.537500338120893,13.660345168775349,39000
1999-01-19,13.537493705749512,13.799562549417985,13.447407540738475,13.799562549417985,39200
1999-01-20,13.578446388244629,13.725860160855246,13.512929155973243,13.619394658414246,480500
1999-01-21,13.373709678649902,13.59483041430425,13.291813109889034,13.521123502419467,42500
1999-01-22,13.308182716369629,13.455596432612491,13.218096556443435,13.291803414564866,75700
1999-01-25,13.275424003601074,13.357320511951484,13.160768891910504,13.308182606941239,179000
1999-01-26,13.586638450622559,13.586638450622559,13.259052231198266,13.283621197655087,85000
1999-01-27,13.76680850982666,13.84870505063467,13.676722314937848,13.717670585341853,50400
1999-01-28,14.012502670288086,14.04526129722038,13.766812968295893,13.78319228176204,57300
1999-01-29,14.045255661010742,14.143531502370584,13.85689363173771,14.053445314457395,167800
1999-02-01,13.987924575805664,14.192665860580338,13.979734924414677,14.143527952234415,57200
1999-02-02,14.102578163146973,14.102578163146973,13.90602655111705,14.037060959137,81800
1999-02-03,14.053445816040039,14.102583738473745,13.914221702477871,14.037066508562138,65300
1999-02-04,13.987924575805664,14.10257969527948,13.922407364677769,13.996114227196651,34400
1999-02-05,13.774996757507324,13.987927741868319,13.758617451018019,13.987927741868319,33000
1999-02-08,13.750433921813965,13.824140833842748,13.635778725324748,13.742244264921878,83500
1999-02-09,13.504737854003906,13.717668832902694,13.480168894900201,13.717668832902694,44500
1999-02-10,13.60301399230957,13.603013992309572,13.431031274766825,13.570255379444287,32000
1999-02-11,13.83232593536377,13.840515589558775,13.611205272098628,13.652153543073656,22400
1999-02-12,13.717668533325195,13.897840896150958,13.619392699056597,13.856892631872377,29600
1999-02-16,13.881460189819336,13.97973601417204,13.840511929672378,13.889649841848728,37700
1999-02-17,13.742239952087402,14.004308890387042,13.643964100225038,13.873274421237223,26800
1999-02-18,13.889655113220215,13.930603388907775,13.766810286157536,13.791379251570072,29400
1999-02-19,13.83232593536377,13.955170748288847,13.807756972778753,13.86508455214379,30300
1999-02-22,14.127151489257812,14.217237672667572,13.84870328599128,13.889651551177536,183700
1999-02-23,14.102578163146973,14.23361257116692,14.037060959137,14.143526415653207,35400
1999-02-24,14.020689010620117,14.290947618885575,13.938792462660889,14.200861416130422,69000
1999-02-25,13.856891632080078,13.95516745925795,13.668529629989154,13.881460588874544,28100
1999-02-26,13.897842407226562,13.938790675957343,13.742238986049601,13.82413552351116,15100
1999-03-01,13.83232593536377,13.89784316892381,13.70948112243869,13.848705243753779,17500
1999-03-02,13.791377067565918,13.99611841358085,13.766808106044126,13.90603222133428,29700
1999-03-03,13.791377067565918,13.848704644450098,13.652152952275763,13.848704644450098,32000
1999-03-04,13.97973918914795,14.004308150816048,13.742239226356332,13.815946111360628,85300
1999-03-05,14.192679405212402,14.274575997279412,13.987937925044884,13.987937925044884,49100
1999-03-08,14.258183479309082,14.258183479309082,14.061631840306545,14.22542487280866,30700
1999-03-09,14.274561882019043,14.35645839310349,14.151717115392373,14.274561882019043,23300
1999-03-10,14.118959426879883,14.217235246556541,14.069821517041554,14.217235246556541,32600
1999-03-11,14.258183479309082,14.356459298810352,14.159907659807814,14.22542487280866,55700
1999-03-12,14.381033897399902,14.454740790951496,14.28275803933111,14.389223552238969,48100
1999-03-15,14.503878593444824,14.610344105423808,14.413792391001067,14.462930319606752,246400
1999-03-16,14.569389343261719,14.651285854466114,14.520251436539082,14.528441087659521,63700
1999-03-17,14.323708534240723,14.561208561395086,14.315518878131952,14.561208561395086,40900
1999-03-18,14.569389343261719,14.569389343261719,14.26637225180546,14.26637225180546,22300
1999-03-19,14.504881858825684,14.660760114095869,14.390024197047651,14.660760114095869,174200
1999-03-22,14.496676445007324,14.504880562972804,14.324389967732193,14.431043501283463,93400
1999-03-23,14.086467742919922,14.431040628885349,13.92238541626972,14.332591232895227,91600
1999-03-24,14.078264236450195,14.102876586513919,13.914181902692034,13.963406602819482,46700
1999-03-25,14.184920310974121,14.275165610812591,14.053654420299981,14.209532665475521,46000
