Price,Close,High,Low,Open,Volume
Ticker,BND,BND,BND,BND,BND
Date,,,,,
2007-04-10,41.76535415649414,41.77645843012114,41.63213251824682,41.67098900586227,35000
2007-04-11,41.65431594848633,41.79308965397767,41.6487638144562,41.720928851735636,87700
2007-04-12,41.648765563964844,41.67652200024401,41.609909094196546,41.66541773171731,78100
2007-04-13,41.582149505615234,41.67096246286275,41.548840940990196,41.65431029806864,18000
2007-04-16,41.62101745605469,41.62656535582608,41.59881315185512,41.62656535582608,52700
2007-04-17,41.726470947265625,41.726470947265625,41.68761448453384,41.72092304904452,25600
2007-04-18,41.80419158935547,41.815295857921036,41.77088725373396,41.77088725373396,30400
2007-04-19,41.78754806518555,41.83195667855843,41.77089589393034,41.83195667855843,59700
2007-04-20,41.77642822265625,41.80973254937669,41.748671793698236,41.79863251881536,32200
2007-04-23,41.831939697265625,41.87079615943385,41.75422677292917,41.78753110192001,43200
2007-04-24,41.898563385009766,41.9096634191876,41.709828923683816,41.8486026436149,77500
2007-04-25,41.86524200439453,41.937407027105166,41.84858984070332,41.87079413730378,264200
2007-04-26,41.77642822265625,41.84303687609714,41.77087608985735,41.84303687609714,68400
2007-04-27,41.76535415649414,41.793110605522116,41.74870198109316,41.78755846870862,44800
2007-04-30,41.90410614013672,41.90410614013672,41.84859750598648,41.86524967272783,35900
2007-05-01,41.88018798828125,41.91910992654783,41.81902433640904,41.90799119083157,54800
2007-05-02,41.88575744628906,41.93024088196361,41.86351572845179,41.90799916412634,28900
2007-05-03,41.85795593261719,41.885759141582575,41.73562860064802,41.885759141582575,33800
2007-05-04,41.891326904296875,41.93581035293714,41.8690894221519,41.91356862861701,19200
2007-05-07,41.91911697387695,41.99139937361735,41.89131376665244,41.90243674641177,135500
2007-05-08,41.9246826171875,41.97472330454052,41.88576066852152,41.969166056284124,34000
2007-05-09,41.87466049194336,41.96362741858659,41.863541747201225,41.96362741858659,50200
2007-05-10,41.91352081298828,41.91352081298828,41.87459890037459,41.87459890037459,42000
2007-05-11,41.85795593261719,41.963603036076755,41.846837194335485,41.963603036076755,38200
2007-05-14,41.83013916015625,41.869061090835594,41.80233596302573,41.869061090835594,71200
2007-05-15,41.81350326538086,41.869109724232004,41.80238451891695,41.863548229911444,31600
2007-05-16,41.83013916015625,41.85237662725392,41.79677447516518,41.813454696574574,56600
2007-05-17,41.768978118896484,41.80233856379081,41.75229365427677,41.791219829550215,42700
2007-05-18,41.668922424316406,41.74676634634288,41.66336093212149,41.74676634634288,62200
2007-05-21,41.72450637817383,41.730067867937315,41.63553951065301,41.674461454649936,49400
2007-05-22,41.657779693603516,41.73006633134587,41.641099467101,41.724504841787166,49800
2007-05-23,41.6244010925293,41.68000323735325,41.579917679801454,41.66888450525715,47200
2007-05-24,41.618873596191406,41.629996579543544,41.529910940250225,41.607754855014456,38600
2007-05-25,41.6244010925293,41.629962579663214,41.59104065406928,41.596597899031465,21100
2007-05-29,41.56882095336914,41.591062671507366,41.52989900717075,41.57437820127322,27900
2007-05-30,41.60771179199219,41.64663370909102,41.585470090482744,41.6355107372509,35200
2007-05-31,41.574378967285156,41.607743666194224,41.51877679200211,41.607743666194224,52200
2007-06-01,41.478389739990234,41.52860792423968,41.467232508412906,41.52860792423968,84900
2007-06-04,41.5230827331543,41.52866348483966,41.47286873858486,41.506344734964486,28500
2007-06-05,41.45612716674805,41.51750265939746,41.42822766759253,41.495183911446226,37400
2007-06-06,41.49516677856445,41.50632401950042,41.43379131125628,41.439367803292185,185900
2007-06-07,41.20500183105469,41.344490668842184,41.14362640187927,41.344490668842184,75500
2007-06-08,41.19943618774414,41.21059768270095,41.08784677935437,41.149222231027665,62700
2007-06-11,41.154823303222656,41.2050372847378,41.12692380891524,41.154823303222656,77100
2007-06-12,40.953948974609375,41.07111916005107,40.9316302359256,41.07111916005107,405400
2007-06-13,41.04879379272461,41.065531779818514,40.92046213023222,40.96509960039161,93800
2007-06-14,40.99299240112305,41.08784381710228,40.99299240112305,41.037629864006014,109800
2007-06-15,41.19943618774414,41.19943618774414,41.093427526832784,41.11016551240494,108600
2007-06-18,41.154823303222656,41.255255523118116,41.13808530938427,41.19388004113394,60300
2007-06-19,41.35009002685547,41.40030398776785,41.25523859611202,41.29987180907967,73400
2007-06-20,41.14919662475586,41.31100414603578,41.14919662475586,41.30542340203015,70300
2007-06-21,41.171531677246094,41.25522584309152,41.13805571365277,41.24964509687194,38500
2007-06-22,41.23291015625,41.288704851974785,41.11574001816924,41.138058747831636,55800
2007-06-25,41.34450912475586,41.38914659442049,41.27197642919839,41.34450912475586,85500
2007-06-26,41.3277473449707,41.389122766209155,41.30542862298754,41.366804044225994,163100
2007-06-27,41.36125564575195,41.439369105350536,41.34451765539001,41.439369105350536,212000
2007-06-28,41.30545425415039,41.37799120982206,41.25524029117486,41.37799120982206,74300
2007-06-29,41.444950103759766,41.444950103759766,41.361255894582264,41.37799814190921,389200
2007-07-02,41.547367095947266,41.558559441799275,41.40743928637892,41.47460190200669,74900
2007-07-03,41.463401794433594,41.603329577808225,41.45220518041967,41.56974400602351,21900
2007-07-05,41.295467376708984,41.37942486140505,41.27867673382078,41.37942486140505,43100
2007-07-06,41.2115478515625,41.245133438529315,41.189158883670956,41.23953512899168,55400
2007-07-09,41.256309509277344,41.27310016100635,41.222728205819344,41.26190781660612,34900
2007-07-10,41.469017028808594,41.469017028808594,41.35707645299129,41.396256081553275,110400
2007-07-11,41.368255615234375,41.468999528800246,41.317879388193994,41.44661483929057,37300
2007-07-12,41.31229782104492,41.43543501453237,41.25632753407586,41.43543501453237,28100
2007-07-13,41.37945556640625,41.40744283882416,41.267515017251064,41.36266491105879,86400
2007-07-16,41.49140167236328,41.49699998164827,41.3682687599051,41.3682687599051,66700
2007-07-17,41.441017150878906,41.469000148312766,41.357059618062316,41.45220949580095,37500
2007-07-18,41.50815963745117,41.55853156538378,41.42979618801989,41.46897577760803,51500
2007-07-19,41.49140167236328,41.49140167236328,41.40744838438243,41.42983308100479,23500
2007-07-20,41.608943939208984,41.65372187662316,41.54178130334685,41.54178130334685,46300
2007-07-23,41.597740173339844,41.60333848154493,41.513782631295484,41.580949518982564,36700
2007-07-24,41.61452102661133,41.63690998390063,41.558550768516575,41.63131167701406,31400
2007-07-25,41.65373229980469,41.67612127411426,41.62574928461288,41.64253994778001,24900
2007-07-26,41.816017150878906,41.816017150878906,41.69288002156728,41.78243585025099,51500
2007-07-27,41.78244400024414,41.81042699947339,41.704084769989784,41.754456730757106,45700
2007-07-30,41.743255615234375,41.81601652225335,41.709670044854406,41.743255615234375,33600
2007-07-31,41.82725524902344,41.82725524902344,41.60896376766881,41.698519685174425,24300
2007-08-01,41.807003021240234,41.86320192625437,41.73394487349203,41.84634268352029,32600
2007-08-02,41.88005828857422,41.891300641424785,41.71708276155281,41.81824249870135,40600
2007-08-03,42.02055358886719,42.03741711649908,41.913776973403934,41.93063621333493,118800
2007-08-06,41.902496337890625,42.03737870950655,41.863156718093556,42.03737870950655,34100
2007-08-07,41.92496871948242,41.98678872273233,41.81257105231686,41.94182794078764,41700
2007-08-08,41.79010009765625,41.85192011486528,41.71704202627156,41.8294397188168,40900
2007-08-09,41.885684967041016,41.981223540314076,41.773287149978806,41.93626698611032,44900
2007-08-10,41.807003021240234,41.97560402398424,41.76204218214829,41.97560402398424,33900
2007-08-13,41.84634017944336,41.88005866289381,41.72832119966544,41.73394237614096,354100
2007-08-14,41.94750213623047,41.95312331300331,41.795764664976225,41.81824508436603,38900
2007-08-15,41.953102111816406,41.992441753942714,41.76202078741761,41.992441753942714,33600
2007-08-16,41.94750213623047,42.12172002687451,41.88006087806104,41.96998255562028,43100
2007-08-17,42.07673645019531,42.087974508821304,41.975576771766136,42.00929523534292,37300
2007-08-20,41.98681640625,42.18913577070185,41.981195232876615,42.132936900065005,66500
2007-08-21,42.13294219970703,42.23972306873764,42.13294219970703,42.228480720576776,24900
2007-08-22,42.13294219970703,42.17790301695145,42.07112214792083,42.09360255654305,38900
2007-08-23,42.13294219970703,42.18914107741279,42.08798138246261,42.104840617004385,46600
2007-08-24,42.17228698730469,42.18914622390305,42.087986516612794,42.16666581253855,54300
2007-08-27,42.32403564453125,42.32403564453124,42.11047811140328,42.11047811140328,82200
2007-08-28,42.44206237792969,42.458925909789166,42.34090262528266,42.352144979855645,55400
2007-08-29,42.34650421142578,42.442042742586466,42.307164564024326,42.39708620819908,92200
2007-08-30,42.41958236694336,42.44205849863102,42.38024270493758,42.41396119017065,44500
2007-08-31,42.447662353515625,51.09118499104007,42.312784179922346,42.312784179922346,23600
2007-09-04,42.42172622680664,42.49506985914701,42.342739452145814,42.47814473664203,85500
2007-09-05,42.58534622192383,42.59098506022532,42.444297784165606,42.50635513667905,56800
2007-09-06,42.50634765625,42.57969558582853,42.46685427280617,42.562770464989164,46500
2007-09-07,42.77153396606445,42.805388523759135,42.63612864865804,42.75460883944583,45700
2007-09-10,42.895633697509766,42.95769533060067,42.822290087700075,42.85049718172454,94800
2007-09-11,42.79405975341797,42.88997157868056,42.79405975341797,42.86176449713735,36400
2007-09-12,42.72634506225586,42.782763510976366,42.70941565363316,42.782763510976366,73900
2007-09-13,42.61918258666992,42.66995794158395,42.57968920914057,42.653032823279275,77800
2007-09-14,42.62483215332031,42.78844452456711,42.56277050721044,42.78844452456711,45800
2007-09-17,42.65865707397461,42.65865707397461,42.56838407705085,42.64173196316476,39300
2007-09-18,42.77713394165039,42.83355240826417,42.56838088028104,42.64172876088672,74700
2007-09-19,42.70945358276367,42.76587638604349,42.647391942720304,42.76587638604349,93600
2007-09-20,42.4047966003418,42.641756899155894,42.39351031689964,42.624831778448595,112700
2007-09-21,42.58534622192383,42.585346221923835,42.438654641407396,42.52328456495368,233800
2007-09-24,42.557132720947266,42.574057843933325,42.51199619001344,42.540207597961206,121500
2007-09-25,42.58534622192383,42.71510837416564,42.57405993640741,42.698183250347725,77500
2007-09-26,42.59660339355469,42.6360967609467,42.50633037982767,42.52889863325942,173600
2007-09-27,42.686893463134766,42.703818583857576,42.59097727161226,42.59662041333851,36300
2007-09-28,42.70382308959961,42.80537812910765,42.63047515278713,42.80537812910765,129200
2007-10-01,42.677188873291016,42.73948341663137,42.631882965296356,42.631882965296356,246000
2007-10-02,42.830074310302734,42.830074310302734,42.694160959610414,42.7394668500437,214300
2007-10-03,42.80744171142578,42.86407626168949,42.728158525788075,42.85841194254121,99300
2007-10-04,42.852745056152344,42.852745056152344,42.75647323944685,42.79611482989083,70200
2007-10-05,42.67152404785156,42.71682995530815,42.61489382383541,42.69984132016422,80500
2007-10-08,42.796104431152344,42.813093062841915,42.688504002974064,42.77911579946278,43600
2007-10-09,42.654544830322266,42.72816370573653,42.626227551757495,42.69985074778185,67200
2007-10-10,42.6998291015625,42.733806362127744,42.63753457678763,42.66018752403376,69900
2007-10-11,42.739505767822266,42.74517008943612,42.592263650142,42.614916615986,125100
2007-10-12,42.67152404785156,42.7451472276208,42.6375467775637,42.65453541270763,61200
2007-10-15,42.637550354003906,42.756475130596,42.609233079316006,42.62056171743497,394500
2007-10-16,42.72815704345703,42.73382136240881,42.682855453671074,42.7168327261629,107100
2007-10-17,42.94332504272461,42.9433250427246,42.72812429359635,42.7734301692661,90200
2007-10-18,42.99995803833008,43.01128234768484,42.95465215969825,42.97730509901416,92000
2007-10-19,43.20388412475586,43.20388412475586,43.06230631768324,43.073630641179854,117300
2007-10-22,43.175537109375,43.1925257432294,43.11324257150297,43.15288415736619,90200
2007-10-23,43.16421127319336,43.209517175615055,43.118905370771664,43.13023400668142,84800
2007-10-24,43.3340950012207,43.385065213451824,43.25481184495716,43.28312910959756,207300
2007-10-25,43.30012512207031,43.35109534299098,43.26614785519567,43.322778073522976,88600
2007-10-26,43.23783874511719,43.30579761229966,43.164219879459985,43.220850108473954,154300
2007-10-29,43.24352264404297,43.26617561002729,43.18122806773895,43.20388103372327,54500
2007-10-30,43.25481414794922,43.25481414794922,43.19818393626126,43.22650120240934,86800
2007-10-31,43.09627914428711,43.237856936693184,43.039648891446944,43.19255100617652,116100
2007-11-01,43.34352493286133,43.34921054389198,43.16731002256579,43.16731002256579,141200
2007-11-02,43.394718170166016,43.43451314331317,43.25260813528307,43.25260813528307,105800
2007-11-05,43.26964569091797,43.44586066781514,43.22985507236532,43.44586066781514,63500
2007-11-06,43.20143508911133,43.315121341446925,43.17301135760116,43.315121341446925,55800
2007-11-07,43.26395034790039,43.32647906825677,43.167316629840954,43.32647906825677,88700
2007-11-08,43.31510543823242,43.39468665301947,43.26394794451973,43.39468665301947,552500
2007-11-09,43.37195587158203,43.491327701995225,43.286689039329396,43.491327701995225,36000
2007-11-12,43.46858596801758,43.46858596801758,43.201418606423815,43.201418606423815,47700
